BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.407,467757,721,61,0,1520.434,356,61,2955.955,1520.434,721,0,721,0,0.2965471,0.01838344,0.2621459,0.006775782,213.8105,9556.453,189.0072,3522.33
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.296,504287,721,82,0,2388.083,350,82,1651.024,2388.083,721,0,721,0,0.3484131,0.01691762,0.2986897,0.004737692,251.2059,8794.461,215.3552,2462.847
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3001.179,487240,721,98,0,2196.155,352,98,1436.745,2196.155,721,0,721,0,0.3277819,0.01858395,0.294026,0.00506785,236.3309,9660.703,211.9927,2634.476
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.363,490493,721,112,0,353.9492,338,135,1598.656,2053.671,721,0,721,0,0.3297695,0.01167218,0.3346615,0.002600144,237.7639,6067.685,241.2909,1351.661
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3002.28,503255,721,141,0,2888.354,349,141,1324.501,2888.354,721,0,721,0,0.3569427,0.01311871,0.322195,0.002594641,257.3557,6819.631,232.3026,1348.802
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3001.38,490549,721,99,0,1676.186,380,99,2924.901,1676.186,721,0,721,0,0.3368292,0.01642247,0.301697,0.004990795,242.8539,8537.09,217.5235,2594.42
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.142,484401,721,86,0,2989.879,341,86,1582.113,2989.879,721,0,721,0,0.3262239,0.01597458,0.2892272,0.003578003,235.2074,8304.25,208.5327,1859.993
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.962,486934,721,101,0,784.8972,364,124,1812.655,2875.245,721,0,721,0,0.3204033,0.01279106,0.2997935,0.003091402,231.0109,6649.316,216.1512,1607.038
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.813,516615,721,108,0,807.6665,380,167,1724.821,2349.598,721,0,721,0,0.3799981,0.01420168,0.3650145,0.004037567,273.9786,7382.616,263.1755,2098.892
15,0.02,AllProducers,1,-0.1,1,5,1,0.65,0.1,6.5,1,False,0.5,0.15,1,True,1,Blue,5000,0.1,True,1,True,10000,10000,100,0.0001,0.0001,True,-0.01,False,True,1,3,0,0.01,False,True,1,True,0.7,True,False,2,True,0.5,3000.689,492274,721,114,0,511.4934,338,127,1466.885,2455.693,721,0,721,0,0.3347901,0.01268216,0.3161922,0.002495546,241.3836,6592.705,227.9748,1297.287

